,Compound Score,Date,Negative Score,Neutral Score,News Outlet,Positive Score,Tweet Count,Tweet Text
0,-0.0258,2018-10-03 23:09:51+00:00,0.211,0.655,@BBC,0.135,1,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
1,-0.0258,2018-10-03 23:09:41+00:00,0.211,0.655,@BBC,0.135,2,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
2,-0.0258,2018-10-03 23:09:35+00:00,0.211,0.655,@BBC,0.135,3,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
3,0.0772,2018-10-03 23:09:22+00:00,0.0,0.936,@BBC,0.064,4,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
4,-0.4588,2018-10-03 23:09:16+00:00,0.217,0.783,@BBC,0.0,5,"RT @Amador_OEA: #UNsays Courts in #Nicaragua have relied on testimonies to accuse people of serious crimes in relation to protests, includi…"
5,-0.0258,2018-10-03 23:09:08+00:00,0.211,0.655,@BBC,0.135,6,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
6,-0.5267,2018-10-03 23:08:58+00:00,0.206,0.794,@BBC,0.0,7,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
7,-0.5267,2018-10-03 23:08:55+00:00,0.206,0.794,@BBC,0.0,8,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
8,-0.0258,2018-10-03 23:08:53+00:00,0.211,0.655,@BBC,0.135,9,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
9,0.0772,2018-10-03 23:08:46+00:00,0.0,0.936,@BBC,0.064,10,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
10,0.0772,2018-10-03 23:08:39+00:00,0.0,0.936,@BBC,0.064,11,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
11,0.0,2018-10-03 23:08:36+00:00,0.0,1.0,@BBC,0.0,12,One would have expected @channelstv @AIT_Online and @NTANewsNow to have a stationed OB Van at the scene of #JosPond… https://t.co/ECnRw01opB
